c0;c1;c2;c3
---Session;start;old0;
32634;12:00:00;11/12/2019;
31220;12:00:00;11/12/2019;
42500;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
43312;12:00:00;11/12/2019;
27441;12:00:00;11/12/2019;
26596;12:00:00;11/12/2019;
43336;12:00:00;11/12/2019;
29119;12:00:00;11/12/2019;
42648;12:00:00;11/12/2019;
32407;12:00:00;11/12/2019;
28071;12:00:00;11/12/2019;
33724;12:00:00;11/12/2019;
34613;12:00:00;11/12/2019;
34361;12:00:00;11/12/2019;
32272;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
29491;12:00:00;11/12/2019;
36443;12:00:00;11/12/2019;
25689;12:00:00;11/12/2019;
31258;12:00:00;11/12/2019;
29427;12:00:00;11/12/2019;
35592;12:00:00;11/12/2019;
36430;12:00:00;11/12/2019;
26492;12:00:00;11/12/2019;
46700;12:00:00;11/12/2019;
30251;12:00:00;11/12/2019;
36855;12:00:00;11/12/2019;
30621;12:00:00;11/12/2019;
28926;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
25772;12:00:00;11/12/2019;
33397;12:00:00;11/12/2019;
25928;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
28016;12:00:00;11/12/2019;
37496;12:00:00;11/12/2019;
31794;12:00:00;11/12/2019;
35249;12:00:00;11/12/2019;
34914;12:00:00;11/12/2019;
31246;12:00:00;11/12/2019;
29641;12:00:00;11/12/2019;
26555;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
31381;12:00:00;11/12/2019;
36793;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
34320;12:00:00;11/12/2019;
32653;12:00:00;11/12/2019;
36118;12:00:00;11/12/2019;
31310;12:00:00;11/12/2019;
29851;12:00:00;11/12/2019;
29262;12:00:00;11/12/2019;
40618;12:00:00;11/12/2019;
38123;12:00:00;11/12/2019;
32104;12:00:00;11/12/2019;
29465;12:00:00;11/12/2019;
50322;12:00:00;11/12/2019;
25378;12:00:00;11/12/2019;
29780;12:00:00;11/12/2019;
34938;12:00:00;11/12/2019;
28766;12:00:00;11/12/2019;
32387;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
35687;12:00:00;11/12/2019;
35476;12:00:00;11/12/2019;
39233;12:00:00;11/12/2019;
29161;12:00:00;11/12/2019;
40008;12:00:00;11/12/2019;
66211;12:00:00;11/12/2019;
39007;12:00:00;11/12/2019;
31186;12:00:00;11/12/2019;
37525;12:00:00;11/12/2019;
35280;12:00:00;11/12/2019;
30579;12:00:00;11/12/2019;
36982;12:00:00;11/12/2019;
26263;12:00:00;11/12/2019;
31059;12:00:00;11/12/2019;
29837;12:00:00;11/12/2019;
30253;12:00:00;11/12/2019;
33769;12:00:00;11/12/2019;
24782;12:00:00;11/12/2019;
24307;12:00:00;11/12/2019;
26479;12:00:00;11/12/2019;
39450;12:00:00;11/12/2019;
27378;12:00:00;11/12/2019;
39622;12:00:00;11/12/2019;
42601;12:00:00;11/12/2019;
31970;12:00:00;11/12/2019;
35485;12:00:00;11/12/2019;
28532;12:00:00;11/12/2019;
43647;12:00:00;11/12/2019;
36525;12:00:00;11/12/2019;
28931;12:00:00;11/12/2019;
34955;12:00:00;11/12/2019;
28149;12:00:00;11/12/2019;
25675;12:00:00;11/12/2019;
39949;12:00:00;11/12/2019;
30842;12:00:00;11/12/2019;
---Session;end;old0;
---Session;start;old1;
31450;12:00:00;15/12/2019;
32047;12:00:00;15/12/2019;
37265;12:00:00;15/12/2019;
35723;12:00:00;15/12/2019;
32673;12:00:00;15/12/2019;
35214;12:00:00;15/12/2019;
29607;12:00:00;15/12/2019;
34960;12:00:00;15/12/2019;
30276;12:00:00;15/12/2019;
26046;12:00:00;15/12/2019;
29988;12:00:00;15/12/2019;
35264;12:00:00;15/12/2019;
32415;12:00:00;15/12/2019;
28190;12:00:00;15/12/2019;
35700;12:00:00;15/12/2019;
28188;12:00:00;15/12/2019;
30564;12:00:00;15/12/2019;
36251;12:00:00;15/12/2019;
29530;12:00:00;15/12/2019;
31480;12:00:00;15/12/2019;
28599;12:00:00;15/12/2019;
28515;12:00:00;15/12/2019;
30746;12:00:00;15/12/2019;
31330;12:00:00;15/12/2019;
36144;12:00:00;15/12/2019;
37687;12:00:00;15/12/2019;
30800;12:00:00;15/12/2019;
29823;12:00:00;15/12/2019;
24192;12:00:00;15/12/2019;
38029;12:00:00;15/12/2019;
39493;12:00:00;15/12/2019;
39455;12:00:00;15/12/2019;
30501;12:00:00;15/12/2019;
31370;12:00:00;15/12/2019;
32888;12:00:00;15/12/2019;
32900;12:00:00;15/12/2019;
30206;12:00:00;15/12/2019;
26846;12:00:00;15/12/2019;
39363;12:00:00;15/12/2019;
33253;12:00:00;15/12/2019;
